EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
Carbon kin1                                                             
                                                                        
Hall A 2018: carbon target                                              
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  6, 12);   avgA =  12.000; amuM= 12.002; avgM= 11.180
 targ=ordinar; ttarg(rl)=0.00207; twall=0.00001; tbeam=0.00057; tspec=0.00832
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 2

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.590 15.072  2.17    4.72   18.65    3.23    0.28   22.16  0.750
   2.976  0.152 13.00    5.01   18.93    3.37    0.28   22.58 1.459E+02

  10.590 15.172  2.20    4.64   18.41    3.17    0.27   21.85  0.751
   2.976  0.154 12.97    4.93   18.67    3.31    0.27   22.24 1.422E+02

  10.590 15.272  2.23    4.56   18.18    3.12    0.25   21.55  0.753
   2.976  0.156 12.94    4.84   18.41    3.25    0.25   21.90 1.386E+02

  10.590 15.372  2.25    4.49   17.95    3.06    0.24   21.24  0.755
   2.976  0.158 12.91    4.76   18.15    3.19    0.24   21.57 1.350E+02

  10.590 15.472  2.28    4.41   17.72    3.00    0.22   20.95  0.756
   2.976  0.160 12.88    4.68   17.89    3.13    0.22   21.24 1.316E+02

  10.590 15.572  2.31    4.34   17.50    2.95    0.21   20.65  0.758
   2.976  0.162 12.85    4.60   17.64    3.07    0.21   20.92 1.282E+02

  10.590 15.672  2.34    4.27   17.28    2.90    0.20   20.38  0.759
   2.976  0.164 12.83    4.53   17.40    3.02    0.20   20.61 1.250E+02

  10.590 15.772  2.37    4.20   17.05    2.85    0.18   20.08  0.761
   2.976  0.166 12.80    4.45   17.14    2.96    0.18   20.28 1.218E+02

  10.590 15.872  2.40    4.13   16.84    2.79    0.17   19.80  0.762
   2.976  0.168 12.77    4.38   16.89    2.91    0.17   19.98 1.187E+02

  10.590 15.972  2.43    4.07   16.62    2.74    0.16   19.53  0.764
   2.976  0.170 12.74    4.31   16.65    2.86    0.16   19.67 1.157E+02

  10.590 16.072  2.46    4.00   16.41    2.70    0.15   19.26  0.765
   2.976  0.172 12.70    4.24   16.41    2.81    0.15   19.37 1.127E+02

  10.590 16.172  2.49    3.94   16.20    2.65    0.14   18.99  0.767
   2.976  0.175 12.67    4.17   16.17    2.76    0.14   19.07 1.099E+02

  10.590 16.272  2.52    3.88   15.99    2.60    0.13   18.72  0.768
   2.976  0.177 12.64    4.10   15.94    2.71    0.13   18.78 1.071E+02

  10.590 16.372  2.56    3.81   15.78    2.55    0.12   18.46  0.770
   2.976  0.179 12.61    4.04   15.71    2.66    0.12   18.49 1.044E+02

  10.590 16.472  2.59    3.75   15.58    2.51    0.12   18.21  0.771
   2.976  0.181 12.58    3.97   15.48    2.61    0.12   18.20 1.017E+02

  10.590 16.572  2.62    3.70   15.38    2.47    0.11   17.96  0.773
   2.976  0.183 12.55    3.91   15.25    2.57    0.11   17.92 9.912E+01

  10.590 16.672  2.65    3.64   15.18    2.42    0.10   17.71  0.774
   2.976  0.185 12.52    3.85   15.03    2.52    0.10   17.65 9.660E+01

  10.590 16.772  2.68    3.58   14.99    2.38    0.09   17.46  0.775
   2.976  0.188 12.49    3.79   14.81    2.48    0.09   17.38 9.415E+01

  10.590 16.872  2.71    3.53   14.80    2.34    0.09   17.22  0.777
   2.976  0.190 12.46    3.73   14.59    2.43    0.09   17.11 9.175E+01

  10.590 16.972  2.75    3.48   14.60    2.30    0.08   16.98  0.778
   2.976  0.192 12.42    3.67   14.37    2.39    0.08   16.84 8.941E+01

  10.590 17.072  2.78    3.42   14.42    2.26    0.08   16.75  0.779
   2.976  0.194 12.39    3.61   14.16    2.35    0.08   16.58 8.714E+01

  10.590 17.172  2.81    3.37   14.23    2.22    0.07   16.52  0.781
   2.976  0.197 12.36    3.56   13.95    2.31    0.07   16.33 8.491E+01

  10.590 17.272  2.84    3.32   14.05    2.18    0.07   16.29  0.782
   2.976  0.199 12.33    3.51   13.74    2.27    0.07   16.07 8.275E+01

  10.590 17.372  2.88    3.27   13.87    2.14    0.06   16.07  0.783
   2.976  0.201 12.29    3.45   13.54    2.23    0.06   15.82 8.063E+01

  10.590 17.472  2.91    3.23   13.69    2.11    0.06   15.85  0.784
   2.976  0.204 12.26    3.40   13.33    2.19    0.06   15.58 7.857E+01

  10.590 17.572  2.94    3.18   13.51    2.07    0.05   15.63  0.786
   2.976  0.206 12.23    3.35   13.13    2.15    0.05   15.33 7.656E+01

  10.590 17.672  2.97    3.13   13.33    2.03    0.05   15.42  0.787
   2.976  0.208 12.19    3.30   12.93    2.11    0.05   15.10 7.460E+01

  10.590 17.772  3.01    3.09   13.16    2.00    0.05   15.21  0.788
   2.976  0.211 12.16    3.25   12.74    2.08    0.05   14.86 7.268E+01

  10.590 17.872  3.04    3.04   12.99    1.97    0.04   15.00  0.789
   2.976  0.213 12.13    3.21   12.54    2.04    0.04   14.63 7.082E+01

  10.590 17.972  3.08    3.00   12.82    1.93    0.04   14.79  0.790
   2.976  0.215 12.09    3.16   12.35    2.01    0.04   14.40 6.899E+01

  10.590 18.072  3.11    2.96   12.65    1.90    0.04   14.59  0.791
   2.976  0.218 12.06    3.11   12.16    1.97    0.04   14.17 6.722E+01

  10.590 18.172  3.14    2.92   12.49    1.87    0.03   14.39  0.792
   2.976  0.220 12.02    3.07   11.97    1.94    0.03   13.95 6.549E+01

  10.590 18.272  3.18    2.88   12.33    1.84    0.03   14.19  0.793
   2.976  0.222 11.99    3.03   11.79    1.90    0.03   13.72 6.380E+01

  10.590 18.372  3.21    2.84   12.16    1.80    0.03   14.00  0.794
   2.976  0.225 11.96    2.99   11.60    1.87    0.03   13.51 6.215E+01

  10.590 18.472  3.25    2.80   12.00    1.77    0.03   13.80  0.795
   2.976  0.227 11.92    2.94   11.42    1.84    0.03   13.29 6.054E+01

  10.590 18.572  3.28    2.76   11.84    1.74    0.02   13.61  0.796
   2.976  0.230 11.89    2.90   11.24    1.81    0.02   13.08 5.897E+01

  10.590 18.672  3.32    2.72   11.69    1.72    0.02   13.43  0.797
   2.976  0.232 11.85    2.86   11.07    1.78    0.02   12.87 5.744E+01

  10.590 18.772  3.35    2.69   11.53    1.69    0.02   13.24  0.798
   2.976  0.235 11.82    2.82   10.89    1.75    0.02   12.66 5.595E+01

  10.590 18.872  3.39    2.65   11.38    1.66    0.02   13.06  0.799
   2.976  0.237 11.78    2.79   10.72    1.72    0.02   12.45 5.449E+01

  10.590 18.972  3.42    2.62   11.23    1.63    0.02   12.88  0.802
   2.976  0.240 11.74    2.75   10.54    1.69    0.02   12.25 5.307E+01

  10.590 19.072  3.46    2.58   11.08    1.60    0.02   12.70  0.801
   2.976  0.242 11.71    2.71   10.37    1.66    0.02   12.05 5.168E+01

  10.590 19.172  3.50    2.55   10.93    1.58    0.01   12.52  0.801
   2.976  0.245 11.67    2.68   10.20    1.63    0.01   11.85 5.033E+01

