x_D2    x_He3   Q2_D2    Q2_He3   D2_Yield   He3_Yield   ratio
0.177342  0.177342  2.51915  2.51916  28874.8  45741.9  1.58414
0.196437  0.196446  2.76492  2.76504  639214  1.01525e+06  1.58828
0.223988  0.223997  3.14736  3.14749  538941  859141  1.59413
0.250805  0.250811  3.51475  3.51483  254177  406504  1.59929
0.272902  0.272903  3.78993  3.78993  6036.99  9676.88  1.60293
